id,title,source,url,license,allowed_use,last_checked,class_tags,topic_tags,citation_note
pmc_acne_review_ccby_overview,Exploring Acne Treatments: From Pathophysiological Mechanisms to Emerging Therapies,PMC Open Access article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,CC BY 4.0,cc_by,2026-05-24,all_acne_classes,acne_vulgaris;management;commercial_allowed,CC BY open access review used as general acne management background.
pmc_topical_review_ccby_mild_moderate,Efficacy of Topical Treatments in the Management of Mild-to-Moderate Acne Vulgaris: A Systematic Review,PMC Open Access article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,CC BY 4.0,cc_by,2026-05-24,Blackheads;Whiteheads;Papules;Pustules;all_acne_classes,comedonal_acne;inflammatory_acne;mild_moderate;management,CC BY systematic review used for mild-to-moderate acne management context.
comedonal_acne_evidence_card,Comedonal acne evidence card,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-24,Blackheads;Whiteheads,comedonal_acne;blackheads;whiteheads;management,Project-authored summary for comedonal classes.
inflammatory_acne_evidence_card,Inflammatory acne evidence card,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-24,Papules;Pustules,inflammatory_acne;papules;pustules;management,Project-authored summary for inflammatory acne classes.
deep_inflammatory_acne_evidence_card,Deep inflammatory acne evidence card,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-24,Cyst,deep_inflammatory_acne;cyst;scar_risk;referral,Project-authored summary for cyst-like acne class.
red_flags_safety_card,Acne red-flag and safety card,Project-authored safety policy grounded in open acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-24,all_acne_classes,safety;red_flags;referral,Project-authored safety rule for conservative triage.
pmc_acne_scars_interventions_ccby,From the Cochrane Library: Interventions for Acne Scars,PMC Open Access article / JMIR Dermatology,https://pmc.ncbi.nlm.nih.gov/articles/PMC10334917/,CC BY 4.0,cc_by,2026-05-25,Cyst;Papules;Pustules;all_acne_classes,acne_scars;scar_risk;referral;management,CC BY open access article used for acne scar risk and referral context.
kdca_korean_acne_citation_only,여드름,국가건강정보포털 / 질병관리청,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do?cntnts_sn=3947,"KOGL Type 4: attribution, non-commercial, no-derivatives",citation_only,2026-05-25,all_acne_classes,korean_source;public_health;acne_vulgaris;management;citation_only,Domestic public-health source; citation-only because KOGL Type 4 restricts commercial use and derivatives.
kdca_healthinfo_copyright_policy,국가건강정보포털 건강정보 저작권,국가건강정보포털 / 질병관리청,https://health.kdca.go.kr/healthinfo/biz/health/portalUseGuidance/hlthinsReqst/hlthinsReqstMth.do,"KOGL Type 4 policy: attribution, non-commercial, no-derivatives",citation_only,2026-05-25,license_policy,korean_source;licensing;kogl_type_4;citation_only,Domestic source licensing policy; used to keep KDCA content citation-only in commercial-facing builds.
ann_dermatol_acne_grading_korea_citation_only,A Comprehensive Review of the Acne Grading Scale in 2023,Annals of Dermatology / Korean Dermatological Association,https://anndermatol.org/search.php?code=0140AD&id=10.5021%2Fad.23.094&vmode=FULL&where=aview,CC BY-NC 4.0,citation_only,2026-05-25,all_acne_classes,korean_source;grading;severity;clinical_assessment;citation_only,Korean dermatology academic source; citation-only because license is non-commercial.
blackheads_open_comedone_card,Blackheads as open comedones,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Blackheads,comedonal_acne;open_comedone;blackheads;classification,Project-authored blackhead class card grounded in CC BY acne review.
whiteheads_closed_comedone_card,Whiteheads as closed comedones,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11121268/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Whiteheads,comedonal_acne;closed_comedone;whiteheads;classification,Project-authored whitehead class card grounded in CC BY acne review.
comedonal_irritation_avoidance_card,Comedonal acne irritation avoidance,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Blackheads;Whiteheads,comedonal_acne;management;irritation;self_care,Project-authored care card grounded in CC BY mild-to-moderate acne review.
comedonal_persistent_referral_card,Persistent comedonal acne referral trigger,Project-authored evidence card grounded in CC BY acne reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC11081083/,Project text; source evidence CC BY 4.0,cc_by,2026-05-25,Blackheads;Whiteheads,comedonal_acne;persistent;referral;management,Project-authored referral card grounded in CC BY acne management review.
